Date,Open,High,Low,Close,Volume
2021-02-15,3108.7,3156.56,3108.7,3147,1944395000
2021-02-16,3151.85,3180.94,3145.84,3163.25,1784126000
2021-02-17,3162.95,3162.95,3115.48,3133.73,1860566000
2021-02-18,3131.74,3140.4,3086.66,3086.66,1831955000
2021-02-19,3089.96,3109.67,3040.28,3107.62,1560930000
2021-02-22,3114.03,3142.48,3079.16,3079.75,1280086000
2021-02-23,3069.26,3094.29,3035.46,3070.09,1361310000
2021-02-24,3070.58,3092.05,2993.46,2994.98,1749871000
2021-02-25,3026.47,3099.8,3026.47,3099.69,1278951000
2021-02-26,3089.49,3089.49,2988.28,3012.95,1187225000
2021-03-02,3021.68,3096.5,3020.74,3043.87,1928301000
2021-03-03,3041.2,3083.04,3029.37,3082.99,1534217000
2021-03-04,3076.88,3076.88,3022.54,3043.49,905646000
2021-03-05,3036.16,3036.98,2982.45,3026.26,1349204000
2021-03-08,3031.99,3055.65,2992.64,2996.11,1669085000
2021-03-09,2944.37,2992.54,2943.39,2976.12,1161784000
2021-03-10,2980.76,3013.95,2951.53,2958.12,1123921000
2021-03-11,2964.3,3028.18,2964.3,3013.7,814990000
2021-03-12,3030.73,3061.43,3030.73,3054.39,1232596000
2021-03-15,3057.06,3065.17,3036.14,3045.71,1068468000
2021-03-16,3049.23,3071.54,3049.23,3067.17,915739000
2021-03-17,3067.76,3069.57,3027.2,3047.5,1331209000
2021-03-18,3054.93,3090.19,3054.93,3066.01,978431000
2021-03-19,3063.01,3063.01,3022.49,3039.53,940353000
2021-03-22,3037.43,3047.31,3032.56,3035.46,1036383000
2021-03-23,3038.25,3058.79,3003.05,3004.74,1288846000
2021-03-24,2996.32,3006.54,2971.04,2996.35,1023074000
2021-03-25,2995.67,3024.63,2987.83,3008.33,1146989000
2021-03-26,3012.79,3041.86,3012.79,3041.01,922680000
2021-03-29,3047.71,3054.21,3025.78,3036.04,792704000
2021-03-30,3038.44,3074.57,3038.44,3070,1084791000
2021-03-31,3073.39,3093.89,3061.42,3061.42,1279017000
2021-04-01,3073.77,3090.88,3069.68,3087.4,1984773000
2021-04-02,3104.72,3121.58,3101.6,3112.8,1357293000
2021-04-05,3121.23,3127.2,3101.86,3120.83,1823162000
2021-04-06,3123.8,3139.29,3110.19,3127.08,1279017000
2021-04-07,3129.07,3146.19,3125.33,3137.41,1984773000
2021-04-08,3137.25,3144.97,3122.09,3143.26,1357293000
2021-04-09,3146.51,3156.04,3125.24,3131.88,1823162000
2021-04-12,3134.88,3147.27,3127.91,3135.59,1048782000
2021-04-13,3138.21,3173.26,3136.99,3169.08,1741348000
2021-04-14,3169.95,3188.32,3162.12,3182.38,1776265000
2021-04-15,3180.73,3204.48,3178.99,3194.33,1312991000
2021-04-16,3194.08,3206.76,3185.67,3198.62,985278000
2021-04-19,3201.11,3214.45,3193.4,3198.84,1060619000
2021-04-20,3198.31,3220.82,3195.96,3220.7,1296160000
2021-04-21,3214.24,3214.24,3165.49,3171.66,1767090000
2021-04-22,3174.52,3196.84,3174.52,3177.52,1752691000
2021-04-23,3173.47,3188.7,3146.54,3186.1,1298330000
2021-04-26,3191.34,3217.53,3191.34,3217.53,1534230000
2021-04-27,3218.3,3223.05,3203.25,3215.42,1412620000
2021-04-28,3217.21,3219.69,3176.55,3181.47,1222430000
2021-04-29,3184.75,3200.41,3161.06,3174.07,1359455000
2021-04-30,3176.43,3179.43,3143.38,3147.86,1041199000
2021-05-03,3149.05,3174.26,3120.7,3127.2,1283829000
2021-05-04,3131.39,3147.37,3109.78,3147.37,1239403000
2021-05-06,3147.72,3178.74,3133.64,3178.74,989680000
2021-05-07,3179.63,3205.11,3179.63,3197.2,1011267000
2021-05-10,3201.46,3255.9,3201.46,3249.3,1096717000
2021-05-11,3239.92,3239.92,3192.25,3209.43,1424059000
2021-05-12,3209.36,3212.83,3138.04,3161.66,1095948000
2021-05-13,3146.97,3161.93,3103.88,3122.11,836404000
2021-05-14,3131.35,3162.31,3131.35,3153.32,771305000
2021-05-17,3163.21,3173.01,3121.32,3134.52,786143000
2021-05-18,3135.38,3176.4,3135.38,3173.05,774252000
2021-05-20,3174.53,3174.53,3140.48,3162.28,797262000
2021-05-21,3171.91,3198.01,3149.46,3156.42,587968000
2021-05-24,3155.91,3163.27,3137.81,3144.3,612976000
2021-05-25,3152.93,3173.1,3148.3,3171.32,1269999000
2021-05-26,3171.91,3183.97,3160.3,3168.43,1082006000
2021-05-27,3170.84,3173.86,3142.37,3165.51,966367000
